,MeanWaitingTime,CustomerCount,Servers,Rho,Method
322,0.006861734795725169,500,1,0.02,prior
323,0.005598591061976435,500,1,0.02,prior
324,0.0036497679197711364,500,1,0.02,prior
325,0.010950178866641182,500,1,0.02,prior
326,0.006306331094115421,500,1,0.02,prior
327,0.010837467457290358,500,1,0.02,prior
328,0.008273955812308486,500,1,0.02,prior
329,0.007228433502921689,500,1,0.02,prior
330,0.008288399071998355,500,1,0.02,prior
331,0.011738009200860234,500,1,0.02,prior
332,0.008716985254053554,500,1,0.02,prior
333,0.005411473005960715,500,1,0.02,prior
334,0.004235931834320468,500,1,0.02,prior
335,0.005742975667420865,500,1,0.02,prior
336,0.008522917312596292,500,1,0.02,prior
337,0.010248145024273526,500,1,0.02,prior
338,0.008149402528832866,500,1,0.02,prior
339,0.004652920568710215,500,1,0.02,prior
340,0.008266896348476094,500,1,0.02,prior
341,0.010805737437603057,500,1,0.02,prior
342,0.012634148484545336,500,1,0.02,prior
343,0.015454532574754012,500,1,0.02,prior
344,0.0055807574124924035,500,1,0.02,prior
345,0.0065641150355913854,500,1,0.02,prior
346,0.009048567365983785,500,1,0.02,prior
347,0.006391197351023493,500,1,0.02,prior
348,0.006258205755703727,500,1,0.02,prior
349,0.005708620263334524,500,1,0.02,prior
350,0.0,500,2,0.02,prior
351,0.0,500,2,0.02,prior
352,0.0013816738340992742,500,2,0.02,prior
353,0.0,500,2,0.02,prior
354,0.0004535115998587571,500,2,0.02,prior
355,0.0,500,2,0.02,prior
356,0.0,500,2,0.02,prior
357,0.0,500,2,0.02,prior
358,0.0,500,2,0.02,prior
359,0.0,500,2,0.02,prior
360,0.00044492217526931197,500,2,0.02,prior
361,0.0,500,2,0.02,prior
362,0.0,500,2,0.02,prior
363,0.0,500,2,0.02,prior
364,0.0,500,2,0.02,prior
365,0.00024463022087957144,500,2,0.02,prior
366,0.0,500,2,0.02,prior
367,0.0,500,2,0.02,prior
368,0.0,500,2,0.02,prior
369,0.0,500,2,0.02,prior
370,0.0,500,2,0.02,prior
371,0.0,500,2,0.02,prior
372,0.00011180223185965588,500,2,0.02,prior
373,0.0018922058999320654,500,2,0.02,prior
374,0.0,500,2,0.02,prior
375,0.00021993122317780944,500,2,0.02,prior
376,0.0,500,2,0.02,prior
377,0.0,500,2,0.02,prior
378,0.0,500,2,0.02,prior
379,0.0,500,2,0.02,prior
380,0.0,500,2,0.02,prior
381,0.0,500,2,0.02,prior
382,8.134818904227358e-05,500,2,0.02,prior
383,0.0001459507967956597,500,2,0.02,prior
384,0.0,500,2,0.02,prior
385,0.0,500,2,0.02,prior
386,0.0,500,2,0.02,prior
387,0.0,500,2,0.02,prior
388,0.00018329554059346264,500,2,0.02,prior
389,0.0,500,2,0.02,prior
390,0.0,500,2,0.02,prior
391,0.0,500,2,0.02,prior
